rank,graph6,alpha,theta_scs,delta_scs,edges,pr_scs,status_scs
7124,GCZLfw,3,3.0,0.0,15,1.7069441153516102e-15,optimal
7125,GCZLf{,3,3.0,-0.0,16,1.4207699080639886e-15,optimal
7126,GCZLjw,3,3.0,-0.0,15,4.696243394164412e-14,optimal
7127,GCZLj{,3,3.0,-0.0,16,1.1934897514720433e-13,optimal
7128,GCZLlk,3,3.0,0.0,15,5.551115123125783e-15,optimal
7129,GCZLlw,3,3.0,0.0,15,5.581090194802167e-13,optimal
7130,GCZLl{,3,3.0,0.0,16,9.062311200854708e-16,optimal
7131,GCZLmk,3,3.0,0.0,15,3.1086244689504383e-15,optimal
7132,GCZLms,3,3.0,-0.0,15,7.147894912115561e-15,optimal
7133,GCZLmw,3,3.0,-0.0,15,6.850076061937216e-14,optimal
7134,GCZLm{,3,3.0,0.0,16,1.2423395645555502e-13,optimal
7135,GCZLnS,3,3.0,0.0,15,1.546994266386731e-13,optimal
7136,GCZLnW,3,3.0,-0.0,15,5.384581669432009e-14,optimal
7137,GCZLn[,3,3.0,-0.0,16,2.8754776337791554e-14,optimal
7138,GCZLnc,3,3.0,0.0,15,6.45039577307216e-14,optimal
7139,GCZLng,3,3.0,0.0,15,2.027451454955439e-13,optimal
7140,GCZLnk,3,3.0,-0.0,16,1.6439570213722087e-15,optimal
7141,GCZLno,3,3.0,0.0,15,1.4674732765435294e-12,optimal
7142,GCZLns,3,3.0,-0.0,16,6.861178292183467e-14,optimal
7143,GCZLnw,3,3.0,-0.0,16,3.148592497836944e-13,optimal
7144,GCZLn{,3,3.0,-0.0,17,8.945777733315776e-16,optimal
7145,GCZLrs,3,3.0,-0.0,15,8.322952801095608e-16,optimal
7146,GCZLrw,3,3.0,-0.0,15,2.4424906541753444e-15,optimal
7147,GCZLtw,3,3.0,-0.0,15,4.575162903002183e-13,optimal
7148,GCZLu[,3,3.0,0.0,15,9.645858083424543e-15,optimal
7149,GCZLus,3,3.0,0.0,15,8.881784197001252e-15,optimal
7150,GCZLuw,3,3.0,-0.0,15,8.881784197001252e-16,optimal
7151,GCZLu{,3,3.0,-0.0,16,1.026587379836703e-12,optimal
7152,GCZLvW,3,3.0,0.0,15,1.2352847482196196e-15,optimal
7153,GCZLv[,3,3.0,0.0,16,1.1068923555512811e-13,optimal
7154,GCZLvg,3,3.0,-0.0,15,1.3322676295501878e-15,optimal
7155,GCZLvs,3,3.0,0.0,16,7.66053886991358e-15,optimal
7156,GCZLvw,3,3.0,0.0,16,3.3306690738754696e-15,optimal
7157,GCZLv{,3,3.0,-0.0,17,1.6476058183008371e-15,optimal
7158,GCZL|{,3,3.0,-0.0,17,4.440892098500626e-14,optimal
7159,GCZL}{,3,3.0,0.0,17,4.785061236134425e-14,optimal
7160,GCZL~[,3,3.0,0.0,17,6.26956684576749e-15,optimal
7161,GCZL~k,3,3.0,0.0,17,2.886579864025407e-14,optimal
7162,GCZL~s,3,3.0,0.0,17,3.167414150379332e-14,optimal
7163,GCZL~w,3,3.0,-0.0,17,8.135037779273822e-16,optimal
7164,GCZL~{,3,3.0,-0.0,18,6.5503158452884236e-15,optimal
7165,GCZMX{,3,3.0,0.0,15,1.0997083492408748e-14,optimal
7166,GCZMY{,3,3.0,0.0,15,1.8583807678865895e-15,optimal
7167,GCZMZk,3,3.0,0.0,15,1.8439123539026337e-13,optimal
